match_id,season,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,striker_id,non_striker_id,bowler_id
548333,2012,1,3.4,Pune Warriors,Delhi Daredevils,RV Uthappa,JD Ryder,M Morkel,0,1,1.0,,,,,,,,,1c17e270,91ffa6c6,5bb5a915
1254091,2021,1,5.2,Sunrisers Hyderabad,Chennai Super Kings,KS Williamson,WP Saha,DL Chahar,0,0,,,,,,,,,,d027ba9f,fe11caa6,23eeb873
1178413,2019,2,7.2,Sunrisers Hyderabad,Kolkata Knight Riders,JM Bairstow,DA Warner,PP Chawla,1,0,,,,,,,,,,abb83e27,dcce6f09,98ae73b1
734033,2014,1,10.2,Kings XI Punjab,Rajasthan Royals,SE Marsh,WP Saha,R Tewatia,1,0,,,,,,,,,,508a1ea7,fe11caa6,39a2dfa8
1304102,2022,1,13.1,Kolkata Knight Riders,Mumbai Indians,SS Iyer,N Rana,M Ashwin,0,0,,,,,,caught,SS Iyer,,,85ec8e33,fb2d1dda,e2db2409
419139,2009/10,1,19.3,Kolkata Knight Riders,Kings XI Punjab,AD Mathews,DJ Hussey,SJ Srivastava,1,0,,,,,,,,,,896d78ad,fd835ab3,2049f3a0
1254064,2021,2,12.5,Rajasthan Royals,Delhi Capitals,DA Miller,R Tewatia,MP Stoinis,1,0,,,,,,,,,,d67d5f00,39a2dfa8,d9273ee7
548380,2012,1,6.5,Chennai Super Kings,Delhi Daredevils,MEK Hussey,M Vijay,Sunny Gupta,1,0,,,,,,,,,,48fd7349,4b57e452,ee3dfa89
598021,2013,2,15.2,Sunrisers Hyderabad,Kings XI Punjab,NLTC Perera,BB Samantray,MS Gony,1,0,,,,,,,,,,0f12f9df,53f27a35,ae78bc32
548367,2012,2,6.1,Mumbai Indians,Royal Challengers Bangalore,AT Rayudu,KD Karthik,HV Patel,0,0,,,,,,,,,,70d205c9,c03f1114,f986ca1a
1178426,2019,2,7.2,Sunrisers Hyderabad,Mumbai Indians,V Shankar,MK Pandey,KH Pandya,1,0,,,,,,,,,,0994d0ae,93b4fc78,5b8c830e
1175364,2019,2,0.1,Kings XI Punjab,Mumbai Indians,KL Rahul,CH Gayle,MJ McClenaghan,1,0,,,,,,,,,,b17e2f24,db584dad,51a3c5ef
548328,2012,2,16.1,Kolkata Knight Riders,Kings XI Punjab,JH Kallis,G Gambhir,BA Bhatt,0,0,,,,,,,,,,86dc8f2e,bb345e0b,dc4686e6
1178401,2019,2,12.4,Delhi Capitals,Kolkata Knight Riders,S Dhawan,RR Pant,LH Ferguson,0,1,1.0,,,,,,,,,0a476045,919a3be2,2f9d0389
1136606,2018,1,14.4,Sunrisers Hyderabad,Chennai Super Kings,S Dhawan,KS Williamson,DJ Willey,4,0,,,,,,,,,,0a476045,d027ba9f,7f048519
1254078,2021,2,8.3,Kolkata Knight Riders,Punjab Kings,RA Tripathi,EJG Morgan,Ravi Bishnoi,4,0,,,,,,,,,,77255a9e,d2a6c0e6,df064e1a
1216497,2020/21,2,19.5,Delhi Capitals,Kolkata Knight Riders,TU Deshpande,R Ashwin,LH Ferguson,0,0,,,,,,caught,TU Deshpande,,,46a9bea1,495d42a5,2f9d0389
392219,2009,1,9.3,Kolkata Knight Riders,Delhi Daredevils,SC Ganguly,MC Henriques,A Mishra,1,0,,,,,,,,,,725529bc,32198ae0,6b19d823
1304071,2022,2,5.5,Sunrisers Hyderabad,Kolkata Knight Riders,RA Tripathi,AK Markram,AD Russell,6,0,,,,,,,,,,77255a9e,6a26221c,bbd41817
1304116,2022,1,8.4,Sunrisers Hyderabad,Punjab Kings,AK Markram,Abhishek Sharma,Harpreet Brar,0,0,,,,,,,,,,6a26221c,f29185a1,c05edf8e
392218,2009,2,19.6,Royal Challengers Bangalore,Mumbai Indians,MV Boucher,A Kumble,SL Malinga,4,0,,,,,,,,,,f3cb53a1,0c2730df,a12e1d51
733985,2014,1,4.1,Delhi Daredevils,Kolkata Knight Riders,M Vijay,KP Pietersen,SP Narine,1,0,,,,,,,,,,4b57e452,39f01cdb,9d430b40
1136617,2018,1,10.5,Sunrisers Hyderabad,Chennai Super Kings,YK Pathan,MK Pandey,DL Chahar,0,0,,,,,,,,,,3c6ffae8,93b4fc78,23eeb873
1216507,2020/21,2,12.2,Rajasthan Royals,Sunrisers Hyderabad,R Tewatia,R Parag,V Shankar,0,0,,,,,,,,,,39a2dfa8,04a418e8,0994d0ae
336007,2007/08,2,15.5,Deccan Chargers,Chennai Super Kings,RG Sharma,SB Styris,JA Morkel,1,0,,,,,,,,,,740742ef,57efa3be,c3d35165
733975,2014,1,4.4,Delhi Daredevils,Rajasthan Royals,Q de Kock,KP Pietersen,JP Faulkner,1,0,,,,,,,,,,372455c4,39f01cdb,808f425a
1175368,2019,2,1.2,Delhi Capitals,Kings XI Punjab,S Dhawan,SS Iyer,SM Curran,2,0,,,,,,,,,,0a476045,85ec8e33,e94915e6
548309,2012,1,17.3,Rajasthan Royals,Kings XI Punjab,OA Shah,AM Rahane,JP Faulkner,1,0,,,,,,,,,,7bf96684,29e95537,808f425a
980975,2016,1,18.5,Kolkata Knight Riders,Gujarat Lions,Shakib Al Hasan,YK Pathan,P Kumar,4,0,,,,,,,,,,7dc35884,3c6ffae8,e938e1bc
598058,2013,2,14.6,Rajasthan Royals,Chennai Super Kings,SR Watson,STR Binny,CH Morris,4,0,,,,,,,,,,4329fbb5,bd17b45f,fb66ce1f
1082621,2017,2,11.2,Gujarat Lions,Royal Challengers Bangalore,SK Raina,AJ Finch,YS Chahal,4,0,,,,,,,,,,1dc12ab9,b8d490fd,57ee1fde
1254078,2021,2,15.1,Kolkata Knight Riders,Punjab Kings,EJG Morgan,KD Karthik,DJ Hooda,0,0,,,,,,,,,,d2a6c0e6,c03f1114,73ad96ed
336019,2007/08,1,7.5,Kings XI Punjab,Rajasthan Royals,SE Marsh,JR Hopes,D Salunkhe,0,0,,,,,,,,,,508a1ea7,2498e163,0264c10e
1136608,2018,2,0.6,Royal Challengers Bangalore,Kings XI Punjab,PA Patel,V Kohli,R Ashwin,4,0,,,,,,,,,,b5da6c24,ba607b88,495d42a5
1216508,2020/21,2,10.4,Kolkata Knight Riders,Mumbai Indians,EJG Morgan,N Rana,RD Chahar,0,0,,,,,,,,,,d2a6c0e6,fb2d1dda,2ed569a0
392210,2009,2,3.4,Kings XI Punjab,Rajasthan Royals,SM Katich,KC Sangakkara,YK Pathan,0,0,,,,,,,,,,fdedb37c,6b71e6cf,3c6ffae8
548357,2012,1,16.6,Delhi Daredevils,Kolkata Knight Riders,Y Nagar,IK Pathan,B Lee,0,0,,,,,,bowled,Y Nagar,,,662c47a6,5fa06777,dd09ff8e
1254088,2021,2,9.6,Sunrisers Hyderabad,Mumbai Indians,PK Garg,MK Pandey,JDS Neesham,1,0,,,,,,,,,,bb965e9a,93b4fc78,9219eff0
1082641,2017,1,7.3,Kings XI Punjab,Mumbai Indians,GJ Maxwell,WP Saha,KV Sharma,0,0,,,,,,,,,,b681e71e,fe11caa6,119678fd
829757,2015,1,6.1,Delhi Daredevils,Royal Challengers Bangalore,MA Agarwal,Yuvraj Singh,VR Aaron,1,0,,,,,,,,,,00ea847a,1c914163,0a3d54b9
980997,2016,1,19.4,Delhi Daredevils,Rising Pune Supergiants,CH Morris,NM Coulter-Nile,NLTC Perera,6,0,,,,,,,,,,fb66ce1f,56ab442f,0f12f9df
980991,2016,1,17.2,Kings XI Punjab,Sunrisers Hyderabad,Gurkeerat Singh,HM Amla,B Kumar,0,0,,,,,,bowled,Gurkeerat Singh,,,6eb146d2,e798611a,2e81a32d
1178409,2019,1,12.2,Mumbai Indians,Delhi Capitals,SA Yadav,KH Pandya,KMA Paul,0,0,,,,,,,,,,271f83cd,5b8c830e,75224f22
336033,2007/08,2,17.6,Chennai Super Kings,Rajasthan Royals,JA Morkel,S Badrinath,Sohail Tanvir,1,0,,,,,,,,,,c3d35165,3576e47e,64d43928
980987,2016,2,2.2,Gujarat Lions,Royal Challengers Bangalore,BB McCullum,RA Jadeja,STR Binny,1,0,,,,,,,,,,b8a55852,fe93fd9d,bd17b45f
1254096,2021,1,4.6,Mumbai Indians,Kolkata Knight Riders,Q de Kock,RG Sharma,LH Ferguson,6,0,,,,,,,,,,372455c4,740742ef,2f9d0389
598067,2013,1,8.3,Pune Warriors,Delhi Daredevils,AJ Finch,MK Pandey,UT Yadav,6,0,,,,,,,,,,b8d490fd,93b4fc78,cc1e8c68
598033,2013,2,12.1,Royal Challengers Bangalore,Mumbai Indians,SS Tiwary,J Syed Mohammad,Harbhajan Singh,0,0,,,,,,,,,,709b0bac,c64c2443,8b5b6769
392203,2009,2,16.3,Kolkata Knight Riders,Mumbai Indians,LR Shukla,BJ Hodge,SL Malinga,0,0,,,,,,,,,,b1451597,b57f8a9a,a12e1d51
501265,2011,1,2.2,Delhi Daredevils,Pune Warriors,DA Warner,NV Ojha,AC Thomas,4,0,,,,,,,,,,dcce6f09,890946a0,b552a935
419155,2009/10,1,18.5,Chennai Super Kings,Delhi Daredevils,DE Bollinger,S Badrinath,DP Nannes,1,0,,,,,,,,,,45c2196c,3576e47e,c404f58a
1254061,2021,2,17.7,Rajasthan Royals,Punjab Kings,R Tewatia,SV Samson,JA Richardson,1,0,,,,,,,,,,39a2dfa8,a4cc73aa,1ee08e9a
392182,2009,1,9.4,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,R Dravid,Kamran Khan,1,0,,,,,,,,,,ba607b88,0184dc35,6ef60d3a
1082617,2017,1,15.4,Kolkata Knight Riders,Royal Challengers Bangalore,CR Woakes,SA Yadav,S Aravind,1,0,,,,,,,,,,4c5d73db,271f83cd,957532de
598024,2013,2,1.1,Delhi Daredevils,Mumbai Indians,V Sehwag,DPMD Jayawardene,JJ Bumrah,0,1,,1.0,,,,,,,,8ba8195d,d18f9182,462411b3
1136565,2018,1,0.4,Kolkata Knight Riders,Chennai Super Kings,SP Narine,CA Lynn,DL Chahar,0,1,1.0,,,,,,,,,9d430b40,45eda7c8,23eeb873
